Table 1
"Monthly supply and utilization, milk in all products, milk-equivalent skim-solids basis, ",,,,,,,,,,,
2011–current (millions of pounds),,,,,,,,,Back to content page.,,
,,,Farm milk supply,,,,,Utilization,,,
Year,Month,"Beginning stocks 
[A]",Production [B],"Farm use 
[C]","Marketings 
[D] 
= [B - C]","Imports 
[E]","Total supply 
[F] 
= [A + D + E]",Exports [G],Ending stocks [H],"Domestic disappearance 
[I] 
= [F - G - H]",
2017,Jan,"9,539","18,140",84,"18,056",577,"28,172","3,122","9,661","15,389",
,Feb,"9,661","16,698",76,"16,622",526,"26,809","3,257","10,352","13,200",
,Mar,"10,352","18,758",84,"18,674",585,"29,611","3,398","10,510","15,703",
,Apr,"10,510","18,357",82,"18,275",487,"29,272","3,466","10,951","14,855",
,May,"10,951","18,958",84,"18,874",456,"30,281","3,573","11,331","15,377",
,Jun,"11,331","18,073",82,"17,991",532,"29,854","3,266","11,613","14,975",
,Jul,"11,613","18,270",84,"18,186",542,"30,341","3,121","12,064","15,156",
,Aug,"12,064","18,037",84,"17,953",468,"30,485","3,461","12,241","14,783",
,Sep,"12,241","17,131",82,"17,049",385,"29,675","3,115","12,216","14,344",
,Oct,"12,216","17,765",84,"17,681",496,"30,393","3,497","11,707","15,189",
,Nov,"11,707","17,265",82,"17,183",491,"29,381","3,624","11,781","13,976",
,Dec,"11,781","18,075",84,"17,991",522,"30,294","3,904","11,814","14,576",
2018,Jan,"11,814","18,431",86,"18,345",487,"30,646","3,400","11,439","15,807",
,Feb,"11,439","16,976",78,"16,898",447,"28,784","3,848","11,461","13,475",
,Mar,"11,461","18,988",86,"18,902",483,"30,846","4,269","11,399","15,178",
,Apr,"11,399","18,425",84,"18,341",445,"30,185","4,491","11,053","14,641",
,May,"11,053","19,122",86,"19,036",506,"30,595","4,264","11,270","15,061",
,Jun,"11,270","18,280",84,"18,196",426,"29,892","3,805","11,529","14,558",
,Jul,"11,529","18,331",86,"18,245",505,"30,279","3,512","11,643","15,124",
,Aug,"11,643","18,247",86,"18,161",403,"30,207","3,941","10,972","15,294",
,Sep,"10,972","17,396",84,"17,312",356,"28,640","3,445","10,526","14,669",
,Oct,"10,526","17,872",86,"17,786",428,"28,740","3,512","10,258","14,970",
,Nov,"10,258","17,330",84,"17,246",503,"28,007","3,107","10,424","14,476",
